;F, MHz;Eeq_max_ref, dBuV/m;AF;M0;MA_vert;MA_hor;Eeq_hor;Eeq_vert;Eeq max;delta;-6 dB;6 dB
0;0,15;61,14;14,7;120,688;43,758;;;57,77000000000001;57,77000000000001;-3,3699999999999903;-6;6
1;0,35;61,14;15,25;120,672;43,285;;;57,863;57,863;-3,277000000000001;-6;6
2;0,55;61,14;15,25;120,651;43,288;;;57,887000000000015;57,887000000000015;-3,252999999999986;-6;6
3;0,75;61,14;15,8;120,637;43,109;;;58,272000000000006;58,272000000000006;-2,867999999999995;-6;6
4;0,95;61,14;16,05;120,624;43,054;;;58,480000000000004;58,480000000000004;-2,6599999999999966;-6;6
5;1,15;61,14;16,05;120,602;43,062;;;58,510000000000005;58,510000000000005;-2,6299999999999955;-6;6
6;1,35;61,14;16,05;120,58;43,05;;;58,52000000000001;58,52000000000001;-2,6199999999999903;-6;6
7;1,55;61,14;16,05;120,552;42,944;;;58,44200000000001;58,44200000000001;-2,6979999999999933;-6;6
8;1,75;61,13;16,05;120,535;42,981;;;58,495999999999995;58,495999999999995;-2,6340000000000074;-6;6
9;1,95;61,13;16,05;120,513;42,89;;;58,42699999999998;58,42699999999998;-2,7030000000000243;-6;6
10;2,15;61,13;16,05;120,5;42,879;;;58,42899999999999;58,42899999999999;-2,7010000000000147;-6;6
11;2,35;61,13;16,05;120,47;42,785;;;58,364999999999995;58,364999999999995;-2,7650000000000077;-6;6
12;2,55;61,12;16,05;120,455;42,834;;;58,429;58,429;-2,6909999999999954;-6;6
13;2,75;61,12;16,05;120,436;42,752;;;58,366;58,366;-2,753999999999998;-6;6
14;2,95;61,12;16,05;120,423;42,751;;;58,378;58,378;-2,7419999999999973;-6;6
15;3,15;61,11;16,45;120,407;42,71;;;58,753000000000014;58,753000000000014;-2,356999999999985;-6;6
16;3,35;61,11;16,45;120,387;42,646;;;58,70900000000002;58,70900000000002;-2,400999999999982;-6;6
17;3,55;61,11;16,45;120,377;42,535;;;58,608000000000004;58,608000000000004;-2,5019999999999953;-6;6
18;3,75;61,1;16,45;120,359;42,515;;;58,605999999999995;58,605999999999995;-2,494000000000007;-6;6
19;3,95;61,1;16,45;120,352;42,431;;;58,52899999999998;58,52899999999998;-2,5710000000000193;-6;6
20;4,15;61,09;16,45;120,329;42,433;;;58,554;58,554;-2,5360000000000014;-6;6
21;4,35;61,09;16,45;120,306;42,359;;;58,503000000000014;58,503000000000014;-2,586999999999989;-6;6
22;4,55;61,08;16,45;120,286;42,38;;;58,544;58,544;-2,5360000000000014;-6;6
23;4,75;61,08;16,45;120,277;42,219;;;58,391999999999996;58,391999999999996;-2,6880000000000024;-6;6
24;4,95;61,07;16,45;120,258;42,681;;;58,87299999999999;58,87299999999999;-2,19700000000001;-6;6
25;5,15;61,07;16,45;120,249;42,843;;;59,044000000000025;59,044000000000025;-2,025999999999975;-6;6
26;5,35;61,06;16,45;120,229;42,303;;;58,524;58,524;-2,5360000000000014;-6;6
27;5,55;61,05;16,45;120,213;43,046;;;59,283;59,283;-1,766999999999996;-6;6
28;5,75;61,05;16,45;120,206;43,038;;;59,28200000000001;59,28200000000001;-1,7679999999999865;-6;6
29;5,95;61,04;16,45;120,2;43,183;;;59,43299999999999;59,43299999999999;-1,6070000000000064;-6;6
30;6,15;61,03;17,0;120,191;43,507;;;60,316;60,316;-0,7139999999999986;-6;6
31;6,35;61,02;17,0;120,177;44,142;;;60,96499999999999;60,96499999999999;-0,05500000000001393;-6;6
32;6,55;61,02;17,0;120,176;44,688;;;61,511999999999986;61,511999999999986;0,4919999999999831;-6;6
33;6,75;61,01;17,0;120,173;45,268;;;62,095;62,095;1,0850000000000009;-6;6
34;6,95;61,0;17,0;120,176;45,612;;;62,43599999999999;62,43599999999999;1,4359999999999928;-6;6
35;7,15;60,99;17,0;120,176;45,491;;;62,31499999999998;62,31499999999998;1,3249999999999815;-6;6
36;7,35;60,98;17,0;120,174;44,592;;;61,41799999999998;61,41799999999998;0,43799999999998107;-6;6
37;7,55;60,98;17,0;120,172;43,63;;;60,458;60,458;-0,5219999999999985;-6;6
38;7,75;60,97;17,0;120,16;42,563;;;59,40299999999999;59,40299999999999;-1,5670000000000073;-6;6
39;7,95;60,96;17,0;120,158;42,013;;;58,855000000000004;58,855000000000004;-2,104999999999997;-6;6
40;8,15;60,95;17,0;120,154;41,625;;;58,471000000000004;58,471000000000004;-2,478999999999999;-6;6
41;8,35;60,94;17,0;120,154;41,801;;;58,64699999999999;58,64699999999999;-2,2930000000000064;-6;6
42;8,55;60,93;17,0;120,14;42,488;;;59,348;59,348;-1,5820000000000007;-6;6
43;8,75;60,92;17,0;120,134;44,949;;;61,81500000000001;61,81500000000001;0,8950000000000102;-6;6
44;8,95;60,91;17,0;120,12;48,755;;;65,63499999999999;65,63499999999999;4,724999999999994;-6;6
45;9,15;60,9;17,85;120,112;46,621;;;64,35900000000001;64,35900000000001;3,4590000000000103;-6;6
46;9,35;60,89;17,85;120,111;39,699;;;57,43800000000001;57,43800000000001;-3,451999999999991;-6;6
47;9,55;60,88;17,85;120,102;34,044;;;51,79199999999998;51,79199999999998;-9,088000000000022;-6;6
48;9,75;60,86;17,85;120,092;28,524;;;46,282000000000004;46,282000000000004;-14,577999999999996;-6;6
49;9,95;60,85;17,85;120,076;23,873;;;41,647;41,647;-19,203000000000003;-6;6
50;10,15;60,84;17,85;120,096;28,684;;;46,437999999999995;46,437999999999995;-14,402000000000008;-6;6
51;10,35;60,83;17,85;120,091;31,758;;;49,51700000000002;49,51700000000002;-11,312999999999981;-6;6
52;10,55;60,82;17,85;120,091;36,13;;;53,889;53,889;-6,930999999999997;-6;6
53;10,75;60,81;17,85;120,086;38,855;;;56,61899999999999;56,61899999999999;-4,19100000000001;-6;6
54;10,95;60,79;17,85;120,078;41,911;;;59,683;59,683;-1,1069999999999993;-6;6
55;11,15;60,78;17,85;120,076;47,287;;;65,061;65,061;4,281000000000006;-6;6
